trade_num,entry_time,symbol,side,entry_price,original_stop,tp1_price,tp2_price,tp3_price,atr,r_unit,size,rel_vol,range_expansion,spread_regime,buy_sell_imbalance,momentum_5m,gross_pnl,total_fees,net_pnl,exit_reason,mfe_price,mfe_r,mfe_time,mae_price,mae_r,realized_r,capture_efficiency,tp1_bar,tp2_bar,tp3_bar,be_move_bar,final_stop_bar,final_stop_price,has_candles
3,2026-05-29 14:09,BTCUSDT,short,72865.89625,72945.85,72817.1,72765.6,72714.1,51.5,79.95375,0.274,3.8114,2.3573,0.0032,0.4489,-0.001312,-22.455,23.9718,-46.4268,STOP_HIT,0.0,0.0,,94.10374999999476,1.177,-2.1192,0.0,-1,-1,-1,-1,0,72945.85,True
3,2026-05-29 14:07,ETHUSDT,short,1995.4846249999998,1994.5707142857143,1989.152857142857,1986.9857142857143,1984.8185714285714,2.167143,0.913911,10.02,1.91,1.7996,0.0047,0.1976,-0.00023,24.7546,14.9922,9.7624,FORCE_CLOSE,1.7446249999998145,1.909,2026-05-29 14:07,0.205375000000231,0.225,1.0661,0.5585,-1,-1,-1,-1,0,1994.5707142857143,True
4,2026-05-29 14:52,BTCUSDT,long,73022.970625,72893.725,73101.85,73185.1,73268.35,83.25,129.245625,0.273,11.6629,3.2733,0.0054,0.841,0.000739,10.767,19.9374,-9.1704,STOP_HIT,91.02937499999825,0.704,2026-05-29 14:53,16.770625000004657,0.13,-0.2599,-0.3692,0,-1,-1,0,0,73022.970625,True
5,2026-05-29 14:58,BTCUSDT,long,73122.482125,72986.98214285713,73205.17857142857,73292.45714285714,73379.7357142857,87.278571,135.499982,0.273,4.2384,1.7851,0.0019,0.6399,0.003184,-37.9163,23.9322,-61.8485,STOP_HIT,0.0,0.0,,136.2821249999979,1.006,-1.672,0.0,-1,-1,-1,-1,1,72986.98214285713,True
7,2026-05-29 15:05,BTCUSDT,long,73291.98025,73245.25,73320.5,73350.59999999999,73380.7,30.1,46.73025,0.272,13.7882,5.0266,0.0037,0.7088,0.005411,7.8648,17.9434,-10.0786,STOP_HIT,48.01975000000675,1.028,2026-05-29 15:06,13.480249999993248,0.288,-0.7929,-0.7713,0,-1,-1,0,0,73291.98025,True
9,2026-05-29 15:10,BTCUSDT,long,73638.72425,73525.63571428572,73707.74285714285,73780.58571428571,73853.42857142857,72.842857,113.088536,0.271,3.2742,2.1265,0.0015,0.5636,0.008493,9.352,19.958,-10.6059,STOP_HIT,89.2757500000007,0.789,2026-05-29 15:12,38.62424999999348,0.342,-0.3461,-0.4387,2,-1,-1,2,2,73638.72425,True
10,2026-05-29 15:16,ETHUSDT,long,2022.2751625,2019.7567857142858,2023.8121428571428,2025.4342857142858,2027.0564285714286,1.622143,2.518377,9.88,5.0351,4.8701,0.0146,0.6605,0.009005,-25.5036,23.9608,-49.4644,STOP_HIT,0.0,0.0,,8.305162500000051,3.298,-1.988,0.0,-1,-1,-1,-1,0,2019.7567857142858,True
13,2026-05-29 15:34,BTCUSDT,long,74011.83475,73942.79285714286,74053.97142857143,74098.44285714286,74142.91428571429,44.471429,69.041893,0.27,11.1333,4.142,0.0073,0.7239,0.00093,5.6885,19.9843,-14.2959,STOP_HIT,110.16525000000547,1.596,2026-05-29 15:35,45.33474999999453,0.657,-0.7669,-0.4805,0,0,-1,0,0,74011.83475,True
15,2026-05-29 16:11,ETHUSDT,long,2035.9560374999999,2033.1160714285713,2037.6892857142857,2039.5185714285715,2041.3478571428573,1.829286,2.839966,9.81,2.2736,1.7439,0.0055,0.6617,0.001355,17.2387,17.9789,-0.7402,STOP_HIT,4.033962500000143,1.42,2026-05-29 16:12,1.8960374999999203,0.668,-0.0266,-0.0187,1,1,-1,1,2,2035.9560374999999,True
15,2026-05-29 16:12,BTCUSDT,long,73952.061375,73864.48928571428,74005.50714285715,74061.91428571429,74118.32142857143,56.407143,87.572089,0.27,1.5468,0.8332,0.0018,0.6491,0.000322,-24.2356,23.9459,-48.1815,STOP_HIT,0.0,0.0,,107.76137500000186,1.231,-2.0377,0.0,-1,-1,-1,-1,3,73864.48928571428,True
17,2026-05-29 16:25,BTCUSDT,short,73598.050125,73594.475,73507.85,73473.2,73438.54999999999,34.65,3.575125,0.271,1.6268,1.7835,0.0029,0.2627,-0.004233,9.1729,17.9487,-8.7758,STOP_HIT,55.650125000000116,15.566,2026-05-29 16:25,6.149875000002794,1.72,-9.0579,-0.5819,-1,-1,-1,-1,0,73594.475,True
17,2026-05-29 16:25,ETHUSDT,short,2023.1641875,2026.8846428571428,2020.8935714285715,2018.4971428571428,2016.1007142857143,2.396429,3.720455,9.87,2.5377,1.5064,0.0042,0.1643,-0.000873,11.2055,19.9664,-8.7609,STOP_HIT,2.2741874999999254,0.611,2026-05-29 16:26,0.4258124999998927,0.114,-0.2386,-0.3905,1,-1,-1,1,1,2023.1641875,True
18,2026-05-29 17:04,ETHUSDT,short,2034.1705125,2035.0742857142857,2033.0671428571427,2032.2642857142855,2031.4614285714285,0.802857,0.903773,9.81,2.7868,2.3541,0.013,0.377,-5.4e-05,3.4956,19.9545,-16.4589,STOP_HIT,0.8705125000001317,0.963,2026-05-29 17:05,0.909487499999841,1.006,-1.8564,-1.9277,-1,-1,-1,-1,1,2035.0742857142857,True
19,2026-05-29 20:21,ETHUSDT,long,2020.064775,2019.5939285714285,2022.8207142857143,2024.1114285714286,2025.402142857143,1.290714,0.470846,9.9,1.7153,1.4023,0.0077,0.596,0.000124,13.5452,18.0015,-4.4563,STOP_HIT,0.0,0.0,,0.6547749999999724,1.391,-0.956,0.0,-1,-1,-1,-1,0,2019.5939285714285,True
20,2026-05-29 20:54,ETHUSDT,short,2017.2192375,2016.9039285714287,2014.7307142857142,2013.8614285714284,2012.9921428571427,0.869286,0.315309,9.91,2.5195,1.6795,0.0117,0.2278,-0.00152,7.3914,17.9901,-10.5987,STOP_HIT,1.6192375000000538,5.135,2026-05-29 20:55,0.0,0.0,-3.3919,-0.6605,-1,-1,-1,-1,0,2016.9039285714287,True
21,2026-05-29 21:51,ETHUSDT,short,2007.8832875,2009.8560714285716,2006.6792857142857,2005.4085714285713,2004.1378571428572,1.270714,1.972784,9.95,8.6819,2.5812,0.0079,0.3534,-0.001669,-20.1199,23.9862,-44.1061,STOP_HIT,0.0,0.0,,2.436712499999885,1.235,-2.247,0.0,-1,-1,-1,-1,0,2009.8560714285716,True
22,2026-05-29 22:21,ETHUSDT,long,2015.3906749999999,2013.5964285714285,2016.4857142857143,2017.6414285714286,2018.797142857143,1.155714,1.794246,9.91,12.8133,2.6996,0.0087,0.9054,0.002236,5.4259,19.9736,-14.5477,STOP_HIT,1.1093250000001262,0.618,2026-05-29 22:21,1.5906749999999192,0.887,-0.8182,-1.3239,0,-1,-1,0,0,2015.3906749999999,True
23,2026-05-29 23:14,ETHUSDT,short,2009.7286749999998,2011.8378571428573,2008.4414285714286,2007.082857142857,2005.7242857142855,1.358571,2.109182,9.94,41.7039,2.1493,0.0084,0.0896,-0.001108,-21.4894,23.9849,-45.4743,STOP_HIT,0.0,0.0,,2.411325000000261,1.143,-2.169,0.0,-1,-1,-1,-1,1,2011.8378571428573,True
24,2026-05-29 23:54,ETHUSDT,long,2012.9314625,2011.1139285714285,2014.0407142857143,2015.2114285714285,2016.382142857143,1.170714,1.817534,9.92,3.9347,2.3234,0.0085,0.7537,0.002068,5.5019,19.9694,-14.4675,STOP_HIT,1.1585374999999658,0.637,2026-05-29 23:54,0.24146249999989777,0.133,-0.8024,-1.2597,0,-1,-1,0,0,2012.9314625,True
